"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2011","1,348.88","1,363.5","1,372.13","1,348.88","-","-1.08%"
"Mar 24, 2011","1,359.25","1,350.25","1,361.38","1,338.38","-","0.77%"
"Mar 25, 2011","1,358.5","1,358.75","1,367.5","1,353.38","-","-0.06%"
"Mar 27, 2011","1,359.38","1,359.88","1,361.5","1,357.25","-","0.06%"
"Mar 28, 2011","1,343.38","1,359.25","1,368.88","1,341.25","-","-1.18%"
"Mar 29, 2011","1,363.63","1,343","1,368.88","1,342.38","-","1.51%"
"Mar 30, 2011","1,374","1,363.88","1,374","1,356.38","-","0.76%"
"Mar 31, 2011","1,416.63","1,374.13","1,431.75","1,368.63","-","3.10%"
"Apr 01, 2011","1,393.88","1,416.5","1,416.5","1,386.88","-","-1.61%"
"Apr 03, 2011","1,399.5","1,393.75","1,402.63","1,391.75","-","0.40%"
"Apr 04, 2011","1,385.38","1,399.38","1,402.5","1,379.63","-","-1.01%"
"Apr 05, 2011","1,375.38","1,385.5","1,389.63","1,366.63","-","-0.72%"
"Apr 06, 2011","1,377.25","1,375.63","1,388.13","1,372.38","-","0.14%"
"Apr 07, 2011","1,365.13","1,377.13","1,383.25","1,360.63","-","-0.88%"
"Apr 08, 2011","1,391.63","1,365.38","1,393.88","1,364.88","-","1.94%"
"Apr 10, 2011","1,405.25","1,395.88","1,406.38","1,395.88","-","0.98%"
"Apr 11, 2011","1,362.75","1,405.5","1,406.13","1,360.13","-","-3.02%"
"Apr 12, 2011","1,330.38","1,362.88","1,370.25","1,318.38","-","-2.38%"
"Apr 13, 2011","1,332.88","1,330.63","1,348.63","1,329.63","-","0.19%"
"Apr 14, 2011","1,334.25","1,333.13","1,337.63","1,316.88","-","0.10%"
"Apr 15, 2011","1,331.88","1,334","1,338.38","1,322.63","-","-0.18%"
"Apr 17, 2011","1,338","1,343.13","1,345","1,338","-","0.46%"
"Apr 18, 2011","1,357.13","1,338.88","1,361.5","1,332.13","-","1.43%"
"Apr 19, 2011","1,354.25","1,357.5","1,360.38","1,348.13","-","-0.21%"
"Apr 20, 2011","1,372.38","1,354.75","1,384.5","1,354.63","-","1.34%"
"Apr 21, 2011","1,389.63","1,372.25","1,391.88","1,363.13","-","1.26%"
"Apr 22, 2011","1,390.13","1,390.13","1,390.13","1,390.13","-","0.04%"
"Apr 24, 2011","1,396.75","1,390.25","1,397.38","1,389.25","-","0.48%"
"Apr 25, 2011","1,396.13","1,396.63","1,398.5","1,380.88","-","-0.04%"
"Apr 26, 2011","1,389.13","1,396.75","1,396.75","1,378.13","-","-0.50%"
"Apr 27, 2011","1,390.63","1,389.63","1,396.63","1,368.5","-","0.11%"
"Apr 28, 2011","1,348.75","1,389.75","1,400.38","1,338.63","-","-3.01%"
"Apr 29, 2011","1,394.88","1,348.75","1,394.88","1,348.75","-","3.42%"
"May 01, 2011","1,388","1,391","1,393.63","1,383.88","-","-0.49%"
"May 02, 2011","1,392.25","1,388.13","1,402.13","1,381.63","-","0.31%"
"May 03, 2011","1,363.13","1,392","1,393.38","1,355.75","-","-2.09%"
"May 04, 2011","1,348.88","1,363.38","1,367.38","1,347.5","-","-1.05%"
"May 05, 2011","1,323.63","1,349.13","1,361.25","1,310.13","-","-1.87%"
"May 06, 2011","1,327.75","1,323.75","1,340.63","1,306.75","-","0.31%"
"May 08, 2011","1,331.25","1,326.88","1,331.25","1,323.75","-","0.26%"
"May 09, 2011","1,333.13","1,330.13","1,341.75","1,328.25","-","0.14%"
"May 10, 2011","1,340.75","1,333.38","1,352.88","1,333.13","-","0.57%"
"May 11, 2011","1,333.38","1,342","1,343.38","1,313.63","-","-0.55%"
"May 12, 2011","1,344.38","1,332.13","1,357.75","1,313.88","-","0.82%"
"May 13, 2011","1,331.13","1,344.25","1,352.88","1,321.75","-","-0.99%"
"May 15, 2011","1,335","1,329.5","1,337.25","1,329.38","-","0.29%"
"May 16, 2011","1,323.25","1,335.13","1,343.88","1,321.13","-","-0.88%"
"May 17, 2011","1,342.63","1,323.13","1,344.75","1,312.38","-","1.46%"
